layer,proj,M,N,params,sigma1,participation_ratio,stable_rank,decay_slope_top64
18,mlp.gate_proj,4864,896,4358144,5.588199615478516,812.782958984375,72.41011047363281,-0.004531238495539396
18,mlp.up_proj,4864,896,4358144,2.9217865467071533,828.6338500976562,228.668212890625,-0.002595342115768581
18,mlp.down_proj,896,4864,4358144,3.3181850910186768,814.9960327148438,165.96490478515625,-0.0036957678354375967
19,self_attn.q_proj,896,896,802816,2.8188910484313965,505.1172790527344,54.866458892822266,-0.009418991751859694
19,self_attn.k_proj,128,896,114688,1.3429646492004395,107.88333129882812,33.765071868896484,-0.011166109942281857
19,self_attn.v_proj,128,896,114688,1.0638295412063599,121.48087310791016,59.186893463134766,-0.004849169188266067
19,self_attn.o_proj,896,896,802816,1.7994681596755981,504.919921875,96.71092224121094,-0.005372566997240749
19,mlp.gate_proj,4864,896,4358144,6.016136169433594,816.7192993164062,62.29510498046875,-0.004905019718266663
19,mlp.up_proj,4864,896,4358144,3.238969087600708,831.827880859375,195.94046020507812,-0.002911524747535851
19,mlp.down_proj,896,4864,4358144,3.1363182067871094,811.82080078125,195.1300811767578,-0.003131358276356703
20,self_attn.q_proj,896,896,802816,2.8479983806610107,451.2362976074219,51.6177978515625,-0.01049220990526043
20,self_attn.k_proj,128,896,114688,1.6347007751464844,96.24712371826172,19.695960998535156,-0.01728756000098496
20,self_attn.v_proj,128,896,114688,1.3375542163848877,123.09266662597656,43.62196350097656,-0.0058824797259908485
20,self_attn.o_proj,896,896,802816,1.9733021259307861,495.05902099609375,106.03504943847656,-0.00462777728330849
20,mlp.gate_proj,4864,896,4358144,5.947383880615234,810.6218872070312,62.226173400878906,-0.005156349098726067
20,mlp.up_proj,4864,896,4358144,3.3063416481018066,823.75244140625,197.20062255859375,-0.0030387210253721574
20,mlp.down_proj,896,4864,4358144,2.842926263809204,819.0208129882812,246.1799774169922,-0.002168525440188553
21,self_attn.q_proj,896,896,802816,2.7244043350219727,433.125732421875,55.49287796020508,-0.010658008237488754
21,self_attn.k_proj,128,896,114688,1.5603446960449219,92.13011932373047,18.064870834350586,-0.018867346179018772
21,self_attn.v_proj,128,896,114688,1.4323210716247559,117.21075439453125,55.79048538208008,-0.005947367636794556
21,self_attn.o_proj,896,896,802816,2.370763063430786,580.4122924804688,79.52438354492188,-0.004947497221153407
21,mlp.gate_proj,4864,896,4358144,6.666589260101318,803.996826171875,49.22969436645508,-0.005917670416744629
21,mlp.up_proj,4864,896,4358144,6.696115970611572,812.10302734375,49.851078033447266,-0.004282007115337003
21,mlp.down_proj,896,4864,4358144,2.91615891456604,813.5885620117188,241.1739959716797,-0.002377142598886629
22,self_attn.q_proj,896,896,802816,3.1761841773986816,430.5009765625,40.434532165527344,-0.01063853182348904
22,self_attn.k_proj,128,896,114688,1.6347086429595947,92.7513198852539,15.375907897949219,-0.018809982133439093
22,self_attn.v_proj,128,896,114688,1.6086153984069824,106.6672134399414,37.8321418762207,-0.007377938937594952
22,self_attn.o_proj,896,896,802816,2.457841157913208,574.260498046875,72.09626007080078,-0.005645034247292922
22,mlp.gate_proj,4864,896,4358144,5.312070369720459,808.39453125,74.55781555175781,-0.006256507114667597
22,mlp.up_proj,4864,896,4358144,4.106573581695557,822.577880859375,135.1925048828125,-0.003534264570518288
22,mlp.down_proj,896,4864,4358144,2.7257814407348633,819.2877197265625,285.9494323730469,-0.0028101485645596314
23,self_attn.q_proj,896,896,802816,3.2654225826263428,445.4417724609375,41.00681686401367,-0.00918762361623974
23,self_attn.k_proj,128,896,114688,1.5520625114440918,95.89383697509766,17.8546085357666,-0.016978672664674788
23,self_attn.v_proj,128,896,114688,2.7002484798431396,104.06827545166016,11.80855941772461,-0.01027294051713624
23,self_attn.o_proj,896,896,802816,3.1882927417755127,523.5361938476562,38.346736907958984,-0.009437981846268144
23,mlp.gate_proj,4864,896,4358144,8.205613136291504,805.2120361328125,32.967430114746094,-0.008181793181287063
23,mlp.up_proj,4864,896,4358144,6.774347305297852,815.357666015625,48.443355560302734,-0.006400542074452828
23,mlp.down_proj,896,4864,4358144,3.526784896850586,775.8743286132812,143.438232421875,-0.004411757983021677
